Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
getPositionJoints.m;259;"Omer Rajput";"2015-05-20 22:17:16";getPositionJoints.m;;/Code_Snippets/MatlabExampleRob6Server/getPositionJoints.m
MatlabExampleRob6Server.m;622;"Omer Rajput";"2015-05-20 22:20:38";MatlabExampleRob6Server.m;"Main file";/Code_Snippets/MatlabExampleRob6Server/MatlabExampleRob6Server.m
movePTPJoints.m;206;"Omer Rajput";"2015-05-20 22:17:11";movePTPJoints.m;;/Code_Snippets/MatlabExampleRob6Server/movePTPJoints.m
jtcp.m;19294;"Omer Rajput";"2015-05-20 22:17:24";jtcp.m;;/Code_Snippets/MatlabExampleRob6Server/jtcp/jtcp.m
jtcp_version01.m;24518;"Omer Rajput";"2015-05-20 22:16:06";jtcp_version01.m;;/Code_Snippets/MatlabExampleRob6Server/jtcp/jtcp_version01.m
"Hawkins - 2013 - Analytic Inverse Kinematics for the Universal Robots UR-5 UR-10 Arms.pdf";268134;"Omer Rajput";"2015-05-20 13:29:58";"Hawkins, Kelsey P. ""Analytic Inverse Kinematics for the Universal Robots UR-5/UR-10 Arms"". Georgia Institute of Technology. Center for Robotics and Intelligent Machines; 2013 Dec. 5 p.";;/Papers/Inverse_Kinematics/Hawkins_-_2013_-_Analytic_Inverse_Kinematics_for_the_Universal_Robots_UR-5_UR-10_Arms.pdf
"Ernst et al - 2012 - Non-orthogonal tool-flange and robot-world calibration.pdf";2038207;"Omer Rajput";"2015-05-20 13:47:49";"Ernst F, Richter L, Matthäus L, Martens V, Bruder R, Schlaefer A, et al. ""Nonorthogonal tool/flange and robot/world calibration for realistic tracking scenarios"". The International Journal of Medical Robotics and Computer Assisted Surgery 2012";;/Papers/Robot-Camera_Calibration/Ernst_et_al_-_2012_-_Non-orthogonal_tool-flange_and_robot-world_calibration.pdf
"Hsu et al - 2007 - Freehand 3D Ultrasound Calibration - A Review.pdf";302541;"Omer Rajput";"2015-05-20 13:43:25";"Hsu, P. W., Prager, R. W., Gee, A. H., and Treece, G. M. Freehand 3D ultrasound calibration: a review. In Advanced imaging in biology and medicine, 2008, ch. 3, pp. 47–84.";;/Papers/Ultrasound_Calibration/Hsu_et_al_-_2007_-_Freehand_3D_Ultrasound_Calibration_-_A_Review.pdf
"Hsu et al - 2006 - Real-time Freehand 3D Ultrasound Calibration.pdf";232974;"Omer Rajput";"2015-05-20 13:42:36";"Hsu, P. W., Prager, R. W., Gee, A. H., and Treece, G. M. Real-time freehand 3D ultrasound calibration. Ultrasound Med. Biol., 2008, 34(2), 239–251.";;/Papers/Ultrasound_Calibration/Hsu_et_al_-_2006_-_Real-time_Freehand_3D_Ultrasound_Calibration.pdf
